NumRounds	Winrate		LossRate
0		0.2		0.7
10		0.2		0.75
20		0.167		0.8
30		0.15		0.825
40		0.16		0.82
50		0.15		0.834
60		0.186		0.8
70		0.163		0.825
80		0.167		0.834
90		0.16		0.84
100		0.155		0.846
110		0.159		0.842
120		0.154		0.847
130		0.158		0.843
140		0.16		0.84
150		0.169		0.832
160		0.171		0.836
170		0.184		0.823
180		0.19		0.822
190		0.19		0.82
200		0.191		0.824
210		0.191		0.828
220		0.192		0.831
230		0.209		0.817
240		0.216		0.808
250		0.216		0.808
260		0.212		0.812
270		0.211		0.811
280		0.211		0.811
290		0.207		0.814
300		0.204		0.817
310		0.2		0.819
320		0.2		0.822
330		0.198		0.827
340		0.195		0.829
350		0.195		0.828
360		0.2		0.828
370		0.203		0.824
380		0.206		0.821
390		0.205		0.82
400		0.2		0.825
410		0.203		0.822
420		0.203		0.821
430		0.2		0.823
440		0.2		0.823
450		0.198		0.824
460		0.196		0.826
470		0.194		0.828
480		0.194		0.827
490		0.196		0.824
500		0.199		0.822
510		0.197		0.824
520		0.195		0.825
530		0.199		0.821
540		0.2		0.82
550		0.204		0.817
560		0.206		0.815
570		0.206		0.814
580		0.209		0.812
590		0.207		0.814
600		0.205		0.815
610		0.207		0.815
620		0.207		0.815
630		0.208		0.815
640		0.207		0.816
650		0.205		0.817
660		0.203		0.818
670		0.205		0.817
680		0.208		0.814
690		0.209		0.813
700		0.208		0.815
710		0.207		0.814
720		0.209		0.813
730		0.207		0.814
740		0.204		0.816
750		0.206		0.815
760		0.204		0.817
770		0.207		0.816
780		0.208		0.816
790		0.207		0.817
800		0.205		0.818
810		0.207		0.816
820		0.207		0.816
830		0.205		0.817
840		0.205		0.817
850		0.203		0.819
860		0.202		0.82
870		0.202		0.82
880		0.2		0.821
890		0.203		0.82
900		0.204		0.819
910		0.204		0.82
920		0.204		0.821
930		0.203		0.822
940		0.202		0.824
950		0.199		0.825
960		0.198		0.826
970		0.197		0.828
980		0.197		0.829
990		0.198		0.828
1000		0.201		0.826
1010		0.201		0.826
1020		0.201		0.826
1030		0.201		0.825
1040		0.201		0.825
1050		0.202		0.824
1060		0.202		0.824
1070		0.2		0.825
1080		0.201		0.825
1090		0.2		0.826
1100		0.2		0.827
1110		0.2		0.827
1120		0.199		0.828
1130		0.2		0.827
1140		0.2		0.828
1150		0.2		0.829
1160		0.2		0.83
1170		0.2		0.829
1180		0.2		0.829
1190		0.2		0.829
1200		0.199		0.83
1210		0.2		0.829
1220		0.2		0.829
1230		0.2		0.829
1240		0.2		0.829
1250		0.2		0.829
1260		0.2		0.829
1270		0.199		0.829
1280		0.199		0.829
1290		0.198		0.83
1300		0.198		0.83
1310		0.2		0.828
1320		0.201		0.827
1330		0.2		0.827
1340		0.2		0.828
1350		0.199		0.828
1360		0.198		0.829
1370		0.198		0.829
1380		0.198		0.829
1390		0.198		0.829
1400		0.197		0.83
1410		0.196		0.831
1420		0.196		0.831
1430		0.196		0.832
1440		0.196		0.832
1450		0.194		0.833
1460		0.194		0.833
1470		0.195		0.832
1480		0.196		0.831
1490		0.194		0.832
1500		0.194		0.833
1510		0.194		0.833
1520		0.193		0.833
1530		0.192		0.834
1540		0.192		0.834
1550		0.192		0.834
1560		0.193		0.833
1570		0.193		0.833
1580		0.192		0.833
1590		0.192		0.834
1600		0.192		0.833
1610		0.191		0.834
1620		0.19		0.835
1630		0.191		0.833
1640		0.191		0.833
1650		0.19		0.834
1660		0.191		0.833
1670		0.19		0.834
1680		0.19		0.835
1690		0.189		0.835
1700		0.19		0.834
1710		0.191		0.834
1720		0.191		0.833
1730		0.193		0.832
1740		0.194		0.831
1750		0.193		0.832
1760		0.193		0.832
1770		0.194		0.831
1780		0.193		0.831
1790		0.193		0.831
1800		0.194		0.83
1810		0.194		0.831
1820		0.194		0.831
1830		0.194		0.831
1840		0.193		0.832
1850		0.193		0.833
1860		0.194		0.833
1870		0.194		0.832
1880		0.195		0.831
1890		0.195		0.83
1900		0.197		0.829
1910		0.196		0.83
1920		0.196		0.83
1930		0.197		0.829
1940		0.197		0.828
1950		0.197		0.828
1960		0.197		0.828
1970		0.198		0.827
1980		0.198		0.828
1990		0.197		0.828
2000		0.197		0.828
2010		0.197		0.828
2020		0.197		0.829
2030		0.198		0.828
2040		0.197		0.829
2050		0.196		0.83
2060		0.195		0.83
2070		0.195		0.83
2080		0.196		0.829
2090		0.196		0.829
2100		0.196		0.829
2110		0.196		0.829
2120		0.196		0.829
2130		0.197		0.828
2140		0.197		0.828
2150		0.197		0.828
2160		0.198		0.828
2170		0.198		0.828
2180		0.198		0.828
2190		0.198		0.828
2200		0.199		0.827
2210		0.199		0.827
2220		0.199		0.827
2230		0.2		0.826
2240		0.2		0.826
2250		0.201		0.824
2260		0.2		0.825
2270		0.2		0.825
2280		0.2		0.825
2290		0.199		0.826
2300		0.199		0.826
2310		0.199		0.826
2320		0.2		0.825
2330		0.2		0.825
2340		0.201		0.824
2350		0.201		0.824
2360		0.202		0.823
2370		0.203		0.823
2380		0.203		0.822
2390		0.203		0.823
2400		0.204		0.822
2410		0.205		0.821
2420		0.206		0.821
2430		0.205		0.821
2440		0.205		0.821
2450		0.206		0.821
2460		0.206		0.82
2470		0.206		0.82
2480		0.206		0.82
2490		0.206		0.82
2500		0.207		0.819
2510		0.207		0.819
2520		0.208		0.818
2530		0.208		0.818
2540		0.208		0.819
2550		0.208		0.818
2560		0.208		0.818
2570		0.208		0.818
2580		0.208		0.819
2590		0.209		0.818
2600		0.209		0.818
2610		0.209		0.818
2620		0.209		0.818
2630		0.209		0.818
2640		0.209		0.818
2650		0.208		0.818
2660		0.208		0.819
2670		0.208		0.818
2680		0.208		0.818
2690		0.208		0.818
2700		0.208		0.818
2710		0.207		0.819
2720		0.209		0.818
2730		0.209		0.817
2740		0.209		0.817
2750		0.209		0.817
2760		0.209		0.817
2770		0.209		0.817
2780		0.208		0.817
2790		0.208		0.817
2800		0.208		0.818
2810		0.208		0.818
2820		0.208		0.818
2830		0.208		0.818
2840		0.208		0.818
2850		0.207		0.818
2860		0.208		0.818
2870		0.208		0.817
2880		0.209		0.816
2890		0.21		0.816
2900		0.209		0.816
2910		0.209		0.816
2920		0.209		0.817
2930		0.209		0.817
2940		0.208		0.817
2950		0.208		0.817
2960		0.207		0.818
2970		0.207		0.818
2980		0.207		0.818
2990		0.207		0.818
3000		0.207		0.818
3010		0.207		0.817
3020		0.207		0.817
3030		0.208		0.817
3040		0.208		0.817
3050		0.209		0.816
3060		0.21		0.815
3070		0.21		0.815
3080		0.211		0.814
3090		0.211		0.814
3100		0.21		0.814
3110		0.21		0.814
3120		0.21		0.815
3130		0.211		0.813
3140		0.211		0.814
3150		0.212		0.813
3160		0.211		0.814
3170		0.211		0.814
3180		0.211		0.814
3190		0.21		0.815
