NumRounds	Winrate		LossRate
0		0.3		0.6
10		0.2		0.75
20		0.134		0.834
30		0.1		0.875
40		0.12		0.86
50		0.15		0.834
60		0.158		0.829
70		0.163		0.825
80		0.156		0.834
90		0.18		0.81
100		0.173		0.819
110		0.175		0.817
120		0.17		0.824
130		0.186		0.808
140		0.194		0.807
150		0.207		0.794
160		0.218		0.789
170		0.217		0.789
180		0.211		0.795
190		0.22		0.785
200		0.21		0.796
210		0.21		0.796
220		0.209		0.796
230		0.213		0.792
240		0.224		0.784
250		0.224		0.785
260		0.223		0.786
270		0.225		0.783
280		0.228		0.78
290		0.227		0.78
300		0.226		0.781
310		0.225		0.782
320		0.231		0.776
330		0.233		0.774
340		0.229		0.778
350		0.231		0.775
360		0.233		0.773
370		0.229		0.777
380		0.226		0.78
390		0.23		0.775
400		0.232		0.774
410		0.227		0.779
420		0.226		0.782
430		0.228		0.78
440		0.223		0.785
450		0.222		0.785
460		0.218		0.79
470		0.217		0.79
480		0.223		0.784
490		0.222		0.784
500		0.218		0.789
510		0.214		0.793
520		0.212		0.795
530		0.208		0.799
540		0.204		0.802
550		0.202		0.804
560		0.208		0.799
570		0.207		0.799
580		0.206		0.8
590		0.205		0.8
600		0.205		0.8
610		0.204		0.802
620		0.202		0.804
630		0.204		0.802
640		0.2		0.805
650		0.2		0.805
660		0.202		0.805
670		0.205		0.802
680		0.205		0.802
690		0.203		0.803
700		0.202		0.805
710		0.202		0.805
720		0.202		0.805
730		0.203		0.803
740		0.206		0.8
750		0.206		0.8
760		0.206		0.8
770		0.207		0.799
780		0.211		0.795
790		0.212		0.794
800		0.21		0.797
810		0.209		0.798
820		0.21		0.797
830		0.208		0.799
840		0.209		0.798
850		0.211		0.796
860		0.211		0.796
870		0.211		0.796
880		0.209		0.797
890		0.208		0.798
900		0.209		0.797
910		0.211		0.795
920		0.21		0.796
930		0.212		0.795
940		0.212		0.795
950		0.214		0.793
960		0.217		0.79
970		0.215		0.792
980		0.213		0.794
990		0.212		0.794
numWins212.0
numLosses794.0
