NumRounds	Winrate		LossRate
0		0.1		0.8
10		0.05		0.9
20		0.034		0.934
30		0.05		0.925
40		0.04		0.94
50		0.067		0.917
60		0.072		0.915
70		0.075		0.913
80		0.089		0.9
90		0.08		0.91
100		0.073		0.919
110		0.075		0.917
120		0.077		0.924
130		0.079		0.922
140		0.087		0.92
150		0.094		0.913
160		0.089		0.918
170		0.084		0.923
180		0.079		0.927
190		0.075		0.93
200		0.077		0.929
210		0.073		0.932
220		0.079		0.927
230		0.08		0.93
240		0.08		0.928
250		0.077		0.931
260		0.078		0.93
270		0.075		0.933
280		0.076		0.932
290		0.074		0.934
300		0.084		0.923
310		0.085		0.922
320		0.085		0.922
330		0.095		0.915
340		0.092		0.918
350		0.089		0.92
360		0.087		0.922
370		0.09		0.919
380		0.09		0.918
390		0.088		0.92
400		0.086		0.922
410		0.089		0.92
420		0.089		0.919
430		0.089		0.921
440		0.092		0.92
450		0.094		0.918
460		0.098		0.915
470		0.096		0.917
480		0.094		0.919
490		0.092		0.92
500		0.093		0.92
510		0.093		0.92
520		0.095		0.917
530		0.093		0.919
540		0.093		0.92
550		0.092		0.922
560		0.093		0.92
570		0.092		0.921
580		0.092		0.921
590		0.094		0.919
600		0.094		0.919
610		0.096		0.917
620		0.096		0.916
630		0.096		0.916
640		0.097		0.914
650		0.097		0.914
660		0.099		0.912
670		0.1		0.911
680		0.103		0.908
690		0.103		0.908
700		0.106		0.905
710		0.109		0.903
720		0.109		0.903
730		0.11		0.902
740		0.111		0.9
750		0.111		0.902
760		0.11		0.903
770		0.108		0.904
780		0.111		0.902
790		0.113		0.9
800		0.117		0.897
810		0.116		0.898
820		0.116		0.898
830		0.116		0.898
840		0.115		0.899
850		0.113		0.9
860		0.112		0.902
870		0.111		0.903
880		0.112		0.902
890		0.112		0.902
900		0.11		0.903
910		0.109		0.904
920		0.108		0.905
930		0.109		0.904
940		0.11		0.903
950		0.113		0.899
960		0.114		0.898
970		0.115		0.897
980		0.116		0.896
990		0.115		0.896
numWins115.0
numLosses896.0
