NumRounds	Winrate		LossRate
0		0.3		0.6
10		0.25		0.75
20		0.2		0.8
30		0.25		0.775
40		0.22		0.8
50		0.2		0.817
60		0.2		0.815
70		0.175		0.838
80		0.167		0.845
90		0.16		0.85
100		0.164		0.846
110		0.167		0.842
120		0.162		0.847
130		0.172		0.836
140		0.16		0.847
150		0.157		0.85
160		0.165		0.842
170		0.178		0.828
180		0.179		0.827
190		0.185		0.82
200		0.186		0.82
210		0.187		0.819
220		0.2		0.805
230		0.205		0.8
240		0.216		0.788
250		0.216		0.789
260		0.215		0.789
270		0.222		0.783
280		0.228		0.78
290		0.227		0.78
300		0.236		0.771
310		0.241		0.766
320		0.24		0.767
330		0.245		0.762
340		0.246		0.76
350		0.248		0.759
360		0.252		0.755
370		0.253		0.753
380		0.259		0.747
390		0.26		0.745
400		0.261		0.744
410		0.258		0.748
420		0.254		0.752
430		0.255		0.75
440		0.256		0.749
450		0.253		0.753
460		0.258		0.747
470		0.259		0.746
480		0.256		0.749
490		0.254		0.75
500		0.257		0.75
510		0.256		0.75
520		0.255		0.751
530		0.256		0.75
540		0.255		0.751
550		0.256		0.75
560		0.257		0.75
570		0.259		0.747
580		0.262		0.745
590		0.259		0.747
600		0.26		0.746
610		0.259		0.747
620		0.256		0.75
630		0.257		0.749
640		0.254		0.751
650		0.257		0.749
660		0.257		0.748
670		0.261		0.745
680		0.258		0.747
690		0.258		0.748
700		0.258		0.747
710		0.26		0.745
720		0.261		0.744
730		0.26		0.748
740		0.262		0.746
750		0.261		0.747
760		0.262		0.746
770		0.263		0.744
780		0.263		0.745
790		0.263		0.744
800		0.266		0.741
810		0.268		0.74
820		0.268		0.739
830		0.267		0.74
840		0.265		0.742
850		0.268		0.739
860		0.267		0.74
870		0.268		0.739
880		0.267		0.74
890		0.266		0.74
900		0.268		0.74
910		0.267		0.741
920		0.269		0.738
930		0.269		0.739
940		0.272		0.735
950		0.272		0.735
960		0.273		0.735
970		0.273		0.734
980		0.273		0.734
990		0.274		0.732
1000		0.274		0.733
1010		0.274		0.733
1020		0.273		0.734
1030		0.273		0.734
1040		0.274		0.733
1050		0.274		0.733
1060		0.274		0.732
1070		0.276		0.73
1080		0.276		0.731
1090		0.275		0.731
1100		0.275		0.731
1110		0.278		0.729
1120		0.277		0.73
1130		0.277		0.73
1140		0.277		0.73
1150		0.279		0.728
1160		0.278		0.729
1170		0.278		0.728
1180		0.28		0.727
1190		0.28		0.726
1200		0.281		0.727
1210		0.283		0.724
1220		0.283		0.725
1230		0.284		0.724
1240		0.284		0.723
1250		0.285		0.723
1260		0.287		0.72
1270		0.287		0.72
1280		0.288		0.719
1290		0.29		0.717
1300		0.291		0.717
1310		0.292		0.716
1320		0.293		0.715
1330		0.294		0.714
1340		0.292		0.715
1350		0.292		0.716
1360		0.291		0.717
1370		0.291		0.716
1380		0.291		0.717
1390		0.291		0.717
1400		0.29		0.718
1410		0.29		0.72
1420		0.29		0.719
1430		0.291		0.719
1440		0.293		0.718
1450		0.295		0.716
1460		0.294		0.716
1470		0.295		0.715
1480		0.296		0.714
1490		0.296		0.714
1500		0.296		0.714
1510		0.295		0.716
1520		0.295		0.715
1530		0.296		0.714
1540		0.297		0.713
1550		0.298		0.712
1560		0.299		0.711
1570		0.3		0.709
1580		0.301		0.709
1590		0.3		0.709
1600		0.301		0.709
1610		0.3		0.709
1620		0.299		0.71
1630		0.299		0.711
1640		0.299		0.71
1650		0.299		0.71
1660		0.3		0.709
1670		0.3		0.709
1680		0.3		0.709
1690		0.3		0.709
1700		0.299		0.71
1710		0.3		0.709
1720		0.3		0.709
1730		0.299		0.71
1740		0.3		0.71
1750		0.301		0.708
1760		0.302		0.708
1770		0.301		0.708
1780		0.302		0.707
1790		0.303		0.707
1800		0.303		0.707
1810		0.303		0.707
1820		0.304		0.707
1830		0.304		0.706
1840		0.304		0.707
1850		0.303		0.708
1860		0.303		0.708
1870		0.302		0.708
1880		0.302		0.708
1890		0.302		0.708
1900		0.302		0.708
1910		0.302		0.709
1920		0.3		0.71
1930		0.3		0.71
1940		0.3		0.71
1950		0.303		0.708
1960		0.303		0.708
1970		0.304		0.707
1980		0.304		0.707
1990		0.304		0.706
2000		0.303		0.707
2010		0.303		0.707
2020		0.303		0.707
2030		0.304		0.706
2040		0.305		0.706
2050		0.304		0.707
2060		0.304		0.707
2070		0.304		0.706
2080		0.305		0.706
2090		0.305		0.706
2100		0.306		0.706
2110		0.306		0.707
2120		0.307		0.705
2130		0.307		0.706
2140		0.306		0.706
2150		0.307		0.705
2160		0.307		0.705
2170		0.307		0.705
2180		0.307		0.706
2190		0.306		0.706
2200		0.307		0.705
2210		0.306		0.706
2220		0.307		0.705
2230		0.307		0.705
2240		0.306		0.706
2250		0.307		0.705
2260		0.308		0.704
2270		0.307		0.705
2280		0.307		0.705
2290		0.308		0.704
2300		0.308		0.705
2310		0.308		0.705
2320		0.307		0.706
2330		0.309		0.704
2340		0.309		0.704
2350		0.31		0.703
2360		0.31		0.703
2370		0.31		0.703
2380		0.309		0.704
2390		0.309		0.704
2400		0.309		0.704
2410		0.308		0.705
2420		0.308		0.705
2430		0.309		0.704
2440		0.309		0.705
2450		0.309		0.704
2460		0.31		0.704
2470		0.31		0.704
2480		0.31		0.704
2490		0.31		0.704
2500		0.31		0.704
2510		0.309		0.705
2520		0.309		0.704
2530		0.309		0.705
2540		0.309		0.705
2550		0.31		0.704
2560		0.309		0.704
2570		0.31		0.704
2580		0.31		0.704
2590		0.31		0.704
2600		0.309		0.705
2610		0.309		0.705
2620		0.309		0.705
2630		0.309		0.704
2640		0.31		0.704
2650		0.31		0.704
2660		0.31		0.703
2670		0.311		0.703
2680		0.311		0.703
2690		0.312		0.701
2700		0.312		0.702
2710		0.311		0.702
2720		0.312		0.702
2730		0.312		0.701
