NumRounds	Winrate		LossRate
0		0.1		0.8
10		0.05		0.9
20		0.067		0.9
30		0.05		0.925
40		0.06		0.92
50		0.05		0.934
60		0.043		0.943
70		0.038		0.95
80		0.034		0.956
90		0.05		0.94
100		0.046		0.946
110		0.05		0.942
120		0.047		0.947
130		0.05		0.943
140		0.054		0.94
150		0.057		0.938
160		0.059		0.942
170		0.056		0.945
180		0.053		0.948
190		0.055		0.945
200		0.053		0.948
210		0.055		0.946
220		0.057		0.944
230		0.059		0.942
240		0.056		0.944
250		0.058		0.943
260		0.056		0.945
270		0.058		0.943
280		0.059		0.942
290		0.057		0.944
300		0.055		0.946
310		0.054		0.947
320		0.058		0.943
330		0.056		0.945
340		0.055		0.946
350		0.059		0.942
360		0.06		0.941
370		0.061		0.94
380		0.059		0.942
390		0.06		0.94
400		0.059		0.942
410		0.06		0.941
420		0.061		0.94
430		0.064		0.939
440		0.063		0.94
450		0.064		0.942
460		0.062		0.943
470		0.061		0.944
480		0.06		0.945
490		0.06		0.944
500		0.059		0.946
510		0.06		0.945
520		0.061		0.944
530		0.062		0.943
540		0.066		0.939
550		0.065		0.94
560		0.067		0.937
570		0.068		0.937
580		0.068		0.936
590		0.069		0.935
600		0.068		0.937
610		0.068		0.936
620		0.067		0.937
630		0.068		0.936
640		0.068		0.936
650		0.067		0.937
660		0.068		0.936
670		0.07		0.934
680		0.069		0.935
690		0.068		0.936
700		0.067		0.937
710		0.066		0.938
720		0.065		0.939
730		0.065		0.938
740		0.064		0.939
750		0.064		0.94
760		0.063		0.941
770		0.062		0.942
780		0.063		0.941
790		0.063		0.94
800		0.063		0.94
810		0.064		0.941
820		0.063		0.941
830		0.064		0.941
840		0.063		0.942
850		0.062		0.942
860		0.061		0.943
870		0.062		0.943
880		0.063		0.942
890		0.064		0.943
900		0.065		0.942
910		0.065		0.943
920		0.064		0.944
930		0.064		0.943
940		0.064		0.944
950		0.063		0.944
960		0.063		0.944
970		0.064		0.943
980		0.063		0.944
990		0.062		0.944
1000		0.062		0.945
1010		0.062		0.945
1020		0.062		0.945
1030		0.061		0.946
1040		0.061		0.946
1050		0.061		0.947
1060		0.06		0.947
1070		0.061		0.947
1080		0.06		0.947
1090		0.06		0.948
1100		0.059		0.948
1110		0.059		0.949
1120		0.058		0.949
1130		0.058		0.949
1140		0.059		0.948
1150		0.059		0.949
1160		0.059		0.948
1170		0.059		0.949
1180		0.058		0.949
1190		0.058		0.95
1200		0.058		0.949
1210		0.059		0.949
1220		0.06		0.948
1230		0.06		0.947
1240		0.06		0.948
1250		0.059		0.948
1260		0.059		0.949
1270		0.059		0.948
1280		0.059		0.948
1290		0.06		0.947
1300		0.06		0.948
1310		0.06		0.948
1320		0.06		0.948
1330		0.062		0.946
1340		0.063		0.945
1350		0.062		0.945
1360		0.063		0.944
1370		0.063		0.945
1380		0.063		0.944
1390		0.063		0.945
1400		0.062		0.945
1410		0.062		0.946
1420		0.061		0.946
1430		0.061		0.946
1440		0.06		0.947
1450		0.061		0.946
1460		0.061		0.946
1470		0.061		0.946
1480		0.06		0.947
