NumRounds	Winrate		LossRate
0		0.3		0.6
10		0.35		0.6
20		0.3		0.667
30		0.225		0.75
40		0.24		0.76
50		0.217		0.784
60		0.229		0.772
70		0.225		0.775
80		0.212		0.8
90		0.22		0.79
100		0.228		0.782
110		0.259		0.75
120		0.262		0.747
130		0.272		0.736
140		0.274		0.734
150		0.269		0.738
160		0.271		0.742
170		0.278		0.734
180		0.279		0.732
190		0.295		0.715
200		0.286		0.724
210		0.305		0.705
220		0.305		0.705
230		0.305		0.705
240		0.304		0.704
250		0.304		0.704
260		0.304		0.704
270		0.311		0.697
280		0.304		0.704
290		0.3		0.707
300		0.297		0.71
310		0.297		0.71
320		0.297		0.71
330		0.306		0.7
340		0.309		0.698
350		0.309		0.698
360		0.311		0.695
370		0.322		0.687
380		0.318		0.69
390		0.328		0.683
400		0.332		0.679
410		0.334		0.677
420		0.328		0.682
430		0.33		0.68
440		0.332		0.68
450		0.331		0.681
460		0.332		0.679
470		0.334		0.678
480		0.331		0.68
490		0.336		0.676
500		0.336		0.677
510		0.333		0.679
520		0.331		0.682
530		0.332		0.68
540		0.331		0.68
550		0.334		0.677
560		0.334		0.678
570		0.337		0.675
580		0.338		0.673
590		0.34		0.67
600		0.343		0.668
610		0.346		0.665
620		0.347		0.664
630		0.344		0.666
640		0.347		0.664
650		0.349		0.661
660		0.347		0.663
670		0.349		0.661
680		0.351		0.66
690		0.35		0.66
700		0.351		0.66
710		0.35		0.66
720		0.351		0.659
730		0.35		0.66
740		0.351		0.659
750		0.349		0.661
760		0.349		0.662
770		0.344		0.666
780		0.345		0.665
790		0.345		0.664
800		0.346		0.663
810		0.346		0.664
820		0.349		0.661
830		0.35		0.659
840		0.353		0.656
850		0.353		0.656
860		0.35		0.659
870		0.347		0.662
880		0.345		0.665
890		0.345		0.665
900		0.346		0.664
910		0.347		0.662
920		0.344		0.666
930		0.343		0.666
940		0.345		0.665
950		0.344		0.665
960		0.346		0.663
970		0.347		0.662
980		0.345		0.664
990		0.344		0.664
1000		0.344		0.665
1010		0.346		0.663
1020		0.345		0.664
1030		0.346		0.663
1040		0.344		0.664
1050		0.342		0.667
1060		0.342		0.667
1070		0.34		0.668
1080		0.342		0.667
1090		0.34		0.668
1100		0.343		0.665
1110		0.342		0.666
1120		0.341		0.667
1130		0.342		0.667
1140		0.341		0.668
1150		0.341		0.669
1160		0.34		0.67
1170		0.34		0.669
1180		0.34		0.669
1190		0.339		0.67
1200		0.337		0.672
1210		0.336		0.673
1220		0.335		0.674
1230		0.338		0.671
1240		0.338		0.671
1250		0.339		0.67
1260		0.338		0.671
1270		0.339		0.67
1280		0.342		0.667
1290		0.34		0.668
1300		0.342		0.667
1310		0.342		0.666
1320		0.341		0.667
1330		0.339		0.669
1340		0.34		0.669
1350		0.34		0.668
1360		0.341		0.667
1370		0.343		0.666
1380		0.342		0.666
1390		0.344		0.664
1400		0.344		0.664
1410		0.342		0.666
1420		0.342		0.666
1430		0.341		0.666
1440		0.342		0.666
1450		0.342		0.666
1460		0.343		0.664
1470		0.343		0.665
1480		0.345		0.662
1490		0.345		0.662
1500		0.345		0.663
1510		0.345		0.663
1520		0.344		0.664
1530		0.343		0.664
1540		0.344		0.664
1550		0.343		0.665
1560		0.343		0.665
1570		0.343		0.665
1580		0.343		0.665
1590		0.343		0.665
1600		0.343		0.664
1610		0.345		0.663
1620		0.345		0.663
1630		0.345		0.663
1640		0.346		0.662
1650		0.347		0.66
1660		0.348		0.66
1670		0.349		0.659
1680		0.348		0.66
1690		0.35		0.657
1700		0.351		0.656
1710		0.35		0.657
1720		0.348		0.659
1730		0.349		0.659
1740		0.348		0.659
1750		0.348		0.659
1760		0.347		0.66
1770		0.347		0.661
1780		0.345		0.662
1790		0.345		0.662
1800		0.345		0.662
1810		0.344		0.663
1820		0.344		0.663
1830		0.344		0.664
1840		0.343		0.665
1850		0.342		0.666
1860		0.343		0.664
1870		0.342		0.665
1880		0.343		0.665
1890		0.343		0.665
1900		0.344		0.663
1910		0.344		0.663
1920		0.345		0.663
1930		0.345		0.662
1940		0.346		0.662
1950		0.346		0.661
1960		0.345		0.662
1970		0.344		0.663
1980		0.344		0.663
1990		0.344		0.663
2000		0.344		0.663
2010		0.345		0.662
2020		0.345		0.662
2030		0.345		0.662
2040		0.344		0.663
2050		0.345		0.662
2060		0.345		0.662
2070		0.345		0.662
2080		0.345		0.662
2090		0.344		0.662
2100		0.345		0.662
2110		0.346		0.661
2120		0.346		0.661
2130		0.348		0.659
2140		0.348		0.658
