NumRounds	Winrate		LossRate
0		0.4		0.5
10		0.2		0.75
20		0.167		0.8
30		0.15		0.825
40		0.12		0.86
50		0.1		0.884
60		0.086		0.9
70		0.075		0.913
80		0.067		0.923
90		0.08		0.91
100		0.073		0.919
110		0.067		0.925
120		0.062		0.931
130		0.058		0.936
140		0.054		0.94
150		0.069		0.925
160		0.077		0.918
170		0.078		0.917
180		0.09		0.916
190		0.085		0.92
200		0.096		0.91
210		0.091		0.914
220		0.092		0.914
230		0.088		0.917
240		0.084		0.92
250		0.081		0.924
260		0.082		0.923
270		0.086		0.922
280		0.087		0.925
290		0.09		0.92
300		0.091		0.92
310		0.088		0.922
320		0.085		0.925
330		0.089		0.921
340		0.092		0.918
350		0.089		0.92
360		0.09		0.919
370		0.09		0.919
380		0.088		0.921
390		0.088		0.92
400		0.088		0.92
410		0.089		0.92
420		0.091		0.917
430		0.094		0.914
440		0.094		0.914
450		0.092		0.916
460		0.092		0.918
470		0.09		0.919
480		0.09		0.919
490		0.092		0.916
500		0.093		0.916
510		0.093		0.918
520		0.091		0.919
530		0.089		0.921
540		0.088		0.922
550		0.086		0.924
560		0.085		0.925
570		0.085		0.925
580		0.084		0.926
590		0.082		0.927
600		0.082		0.927
610		0.083		0.926
620		0.083		0.926
630		0.083		0.925
640		0.082		0.927
650		0.082		0.926
660		0.083		0.926
670		0.083		0.925
680		0.082		0.927
690		0.082		0.926
700		0.082		0.927
710		0.082		0.927
720		0.081		0.928
730		0.08		0.929
740		0.08		0.93
750		0.079		0.931
760		0.078		0.932
770		0.079		0.931
780		0.079		0.931
790		0.078		0.932
800		0.078		0.931
810		0.079		0.932
820		0.079		0.932
830		0.078		0.933
840		0.077		0.933
850		0.077		0.933
860		0.08		0.93
870		0.08		0.931
880		0.08		0.931
890		0.079		0.932
900		0.08		0.931
910		0.079		0.932
920		0.078		0.933
930		0.077		0.933
940		0.077		0.933
950		0.077		0.934
960		0.077		0.933
970		0.077		0.933
980		0.076		0.934
990		0.075		0.934
1000		0.075		0.935
1010		0.076		0.935
1020		0.075		0.935
1030		0.075		0.936
1040		0.074		0.937
1050		0.073		0.937
1060		0.074		0.936
1070		0.074		0.937
1080		0.073		0.937
1090		0.072		0.938
1100		0.072		0.938
1110		0.072		0.938
1120		0.072		0.938
1130		0.072		0.938
1140		0.072		0.938
1150		0.072		0.938
1160		0.072		0.937
1170		0.073		0.936
1180		0.074		0.936
1190		0.075		0.935
1200		0.074		0.936
1210		0.074		0.937
1220		0.074		0.936
1230		0.074		0.937
1240		0.074		0.936
1250		0.075		0.936
1260		0.075		0.936
1270		0.075		0.936
1280		0.074		0.937
1290		0.074		0.937
1300		0.075		0.936
1310		0.076		0.935
1320		0.076		0.934
1330		0.077		0.934
1340		0.076		0.935
1350		0.076		0.934
1360		0.076		0.935
1370		0.076		0.935
1380		0.077		0.934
1390		0.076		0.935
1400		0.076		0.935
1410		0.075		0.936
1420		0.075		0.935
1430		0.075		0.935
1440		0.075		0.936
1450		0.074		0.936
1460		0.075		0.936
1470		0.075		0.936
1480		0.074		0.936
1490		0.074		0.936
1500		0.075		0.936
1510		0.076		0.935
1520		0.076		0.934
1530		0.076		0.935
1540		0.075		0.935
1550		0.075		0.935
1560		0.075		0.936
1570		0.075		0.935
1580		0.076		0.934
1590		0.076		0.934
1600		0.076		0.934
1610		0.076		0.934
1620		0.076		0.935
1630		0.075		0.935
1640		0.076		0.934
1650		0.077		0.934
1660		0.077		0.933
1670		0.077		0.934
1680		0.077		0.933
1690		0.078		0.933
1700		0.078		0.933
1710		0.077		0.933
1720		0.077		0.933
1730		0.078		0.933
1740		0.077		0.933
1750		0.077		0.933
1760		0.077		0.933
1770		0.077		0.933
1780		0.077		0.933
1790		0.077		0.933
1800		0.077		0.933
1810		0.077		0.933
1820		0.076		0.933
1830		0.077		0.933
1840		0.077		0.933
1850		0.077		0.932
1860		0.078		0.932
1870		0.077		0.932
1880		0.077		0.933
1890		0.076		0.933
1900		0.076		0.933
1910		0.077		0.933
1920		0.077		0.933
1930		0.077		0.932
1940		0.077		0.932
1950		0.077		0.933
1960		0.077		0.932
1970		0.077		0.932
1980		0.077		0.932
1990		0.077		0.932
2000		0.077		0.933
2010		0.077		0.933
2020		0.077		0.933
2030		0.078		0.932
2040		0.078		0.932
2050		0.078		0.932
2060		0.078		0.932
2070		0.078		0.932
2080		0.078		0.932
2090		0.078		0.932
2100		0.078		0.932
2110		0.078		0.932
2120		0.078		0.932
2130		0.078		0.932
2140		0.078		0.932
2150		0.077		0.932
2160		0.077		0.932
2170		0.077		0.933
2180		0.077		0.933
2190		0.076		0.933
2200		0.077		0.933
2210		0.076		0.933
2220		0.076		0.934
2230		0.075		0.934
2240		0.075		0.934
2250		0.075		0.935
2260		0.075		0.934
2270		0.075		0.935
2280		0.075		0.935
2290		0.075		0.935
2300		0.075		0.935
2310		0.075		0.935
2320		0.075		0.934
2330		0.075		0.935
2340		0.075		0.935
2350		0.074		0.935
2360		0.074		0.936
2370		0.074		0.935
2380		0.074		0.936
2390		0.074		0.935
2400		0.074		0.935
2410		0.074		0.936
2420		0.074		0.936
2430		0.073		0.936
2440		0.073		0.936
2450		0.073		0.936
2460		0.073		0.937
2470		0.073		0.936
2480		0.074		0.936
2490		0.074		0.936
2500		0.074		0.936
2510		0.074		0.935
2520		0.074		0.936
2530		0.074		0.936
2540		0.073		0.936
2550		0.073		0.936
2560		0.073		0.936
