NumRounds	Winrate		LossRate
0		0		0.9
10		0		0.95
20		0		0.967
30		0.05		0.925
40		0.04		0.94
50		0.034		0.95
60		0.029		0.958
70		0.038		0.95
80		0.045		0.945
90		0.07		0.92
100		0.073		0.919
110		0.067		0.925
120		0.062		0.931
130		0.065		0.929
140		0.06		0.934
150		0.063		0.932
160		0.065		0.93
170		0.062		0.934
180		0.058		0.937
190		0.055		0.94
200		0.058		0.939
210		0.055		0.941
220		0.053		0.944
230		0.05		0.946
240		0.048		0.948
250		0.047		0.95
260		0.052		0.945
270		0.054		0.943
280		0.052		0.945
290		0.05		0.947
300		0.049		0.949
310		0.05		0.947
320		0.052		0.946
330		0.05		0.948
340		0.049		0.949
350		0.05		0.948
360		0.049		0.949
370		0.048		0.95
380		0.049		0.949
390		0.048		0.95
400		0.049		0.949
410		0.05		0.948
420		0.049		0.949
430		0.048		0.95
440		0.047		0.952
450		0.048		0.95
460		0.047		0.952
470		0.046		0.953
480		0.049		0.949
490		0.048		0.95
500		0.048		0.951
510		0.047		0.952
520		0.05		0.95
530		0.049		0.95
540		0.05		0.95
550		0.052		0.947
560		0.053		0.946
570		0.052		0.947
580		0.051		0.948
590		0.05		0.949
600		0.051		0.948
610		0.05		0.949
620		0.051		0.948
630		0.05		0.949
640		0.051		0.948
650		0.054		0.946
660		0.054		0.945
670		0.056		0.943
680		0.057		0.943
690		0.058		0.942
700		0.058		0.941
710		0.057		0.942
720		0.057		0.943
730		0.056		0.944
740		0.055		0.944
750		0.054		0.945
760		0.054		0.946
770		0.054		0.945
780		0.056		0.944
790		0.055		0.944
800		0.056		0.944
810		0.057		0.944
820		0.056		0.945
830		0.056		0.946
840		0.056		0.946
850		0.056		0.946
860		0.058		0.945
870		0.06		0.944
880		0.059		0.944
890		0.058		0.945
900		0.059		0.944
910		0.059		0.944
920		0.06		0.944
930		0.059		0.944
940		0.058		0.945
950		0.059		0.944
960		0.059		0.944
970		0.059		0.944
980		0.058		0.945
990		0.057		0.945
1000		0.057		0.946
1010		0.056		0.947
1020		0.056		0.947
1030		0.056		0.947
1040		0.056		0.947
1050		0.055		0.948
1060		0.055		0.948
1070		0.054		0.949
1080		0.054		0.949
1090		0.053		0.95
1100		0.054		0.949
1110		0.053		0.95
1120		0.054		0.948
1130		0.054		0.949
1140		0.054		0.948
1150		0.054		0.949
1160		0.053		0.949
1170		0.053		0.95
1180		0.053		0.95
1190		0.052		0.95
1200		0.053		0.95
1210		0.052		0.95
1220		0.052		0.951
1230		0.051		0.951
1240		0.052		0.952
1250		0.052		0.951
1260		0.052		0.952
1270		0.051		0.952
1280		0.052		0.952
1290		0.052		0.951
1300		0.052		0.951
1310		0.052		0.951
1320		0.053		0.95
1330		0.054		0.95
1340		0.054		0.95
1350		0.055		0.949
1360		0.055		0.949
1370		0.056		0.948
1380		0.056		0.948
1390		0.056		0.948
1400		0.056		0.948
1410		0.055		0.948
1420		0.055		0.949
1430		0.055		0.948
1440		0.055		0.949
1450		0.055		0.949
1460		0.055		0.949
1470		0.055		0.95
1480		0.054		0.95
1490		0.054		0.95
1500		0.053		0.951
1510		0.054		0.95
1520		0.055		0.95
1530		0.054		0.95
1540		0.055		0.95
1550		0.054		0.95
1560		0.055		0.95
1570		0.054		0.95
1580		0.054		0.95
1590		0.054		0.95
1600		0.055		0.95
1610		0.055		0.95
1620		0.054		0.95
1630		0.054		0.95
1640		0.054		0.951
1650		0.054		0.95
1660		0.054		0.951
1670		0.054		0.95
1680		0.054		0.951
1690		0.054		0.95
1700		0.054		0.951
1710		0.054		0.951
1720		0.054		0.951
1730		0.054		0.951
1740		0.054		0.951
1750		0.055		0.95
1760		0.055		0.951
1770		0.054		0.951
1780		0.055		0.951
1790		0.054		0.951
1800		0.055		0.951
1810		0.055		0.95
1820		0.055		0.95
1830		0.055		0.95
1840		0.055		0.951
1850		0.054		0.951
1860		0.055		0.951
1870		0.055		0.95
1880		0.054		0.951
1890		0.055		0.95
1900		0.055		0.95
1910		0.055		0.95
1920		0.055		0.951
1930		0.055		0.95
1940		0.055		0.95
1950		0.056		0.95
1960		0.056		0.95
1970		0.056		0.949
1980		0.056		0.95
1990		0.055		0.95
2000		0.056		0.949
2010		0.056		0.95
2020		0.058		0.948
2030		0.057		0.949
2040		0.058		0.948
2050		0.058		0.948
2060		0.058		0.947
2070		0.058		0.948
2080		0.058		0.948
2090		0.058		0.948
2100		0.058		0.948
2110		0.058		0.948
2120		0.057		0.948
2130		0.058		0.948
2140		0.058		0.948
2150		0.057		0.948
2160		0.058		0.948
2170		0.057		0.948
2180		0.057		0.948
2190		0.057		0.948
2200		0.057		0.948
2210		0.057		0.948
2220		0.057		0.948
2230		0.057		0.949
2240		0.056		0.949
2250		0.057		0.948
2260		0.057		0.948
2270		0.057		0.948
2280		0.057		0.948
2290		0.057		0.948
2300		0.057		0.949
2310		0.057		0.949
2320		0.058		0.948
2330		0.057		0.948
2340		0.058		0.948
2350		0.057		0.948
2360		0.057		0.949
2370		0.058		0.948
2380		0.057		0.948
2390		0.058		0.948
2400		0.058		0.948
2410		0.058		0.948
2420		0.058		0.947
2430		0.058		0.947
2440		0.058		0.947
2450		0.058		0.947
2460		0.059		0.946
2470		0.059		0.946
2480		0.059		0.946
2490		0.059		0.946
2500		0.059		0.946
2510		0.059		0.946
2520		0.059		0.946
2530		0.059		0.947
2540		0.059		0.947
2550		0.059		0.947
2560		0.058		0.947
2570		0.058		0.947
2580		0.059		0.947
2590		0.059		0.947
2600		0.058		0.948
2610		0.058		0.948
2620		0.058		0.948
2630		0.058		0.947
