NumRounds	Winrate		LossRate
0		0		0.9
10		0		0.95
20		0		0.967
30		0		0.975
40		0		0.98
50		0		0.984
60		0		0.986
70		0		0.988
80		0		0.989
90		0		0.99
100		0		0.991
110		0		0.992
120		0		0.993
130		0		0.993
140		0		0.994
150		0		0.994
160		0		0.995
170		0		0.995
180		0		0.995
190		0		0.995
200		0		0.996
210		0		0.996
220		0		0.996
230		0		0.996
240		0		0.996
250		0		0.997
260		0		0.997
270		0		0.997
280		0		0.997
290		0		0.997
300		0		0.997
310		0		0.997
320		0		0.997
330		0		0.998
340		0		0.998
350		0		0.998
360		0		0.998
370		0		0.998
380		0		0.998
390		0		0.998
400		0		0.998
410		0		0.998
420		0		0.998
430		0		0.998
440		0		0.998
450		0		0.998
460		0		0.998
470		0		0.998
480		0		0.998
490		0		0.998
500		0		0.999
510		0		0.999
520		0		0.999
530		0		0.999
540		0		0.999
550		0		0.999
560		0		0.999
570		0		0.999
580		0		0.999
590		0		0.999
600		0		0.999
610		0		0.999
620		0		0.999
630		0		0.999
640		0		0.999
650		0		0.999
660		0		0.999
670		0		0.999
680		0		0.999
690		0		0.999
700		0		0.999
710		0		0.999
720		0		0.999
730		0		0.999
740		0		0.999
750		0		0.999
760		0		0.999
770		0		0.999
780		0		0.999
790		0		0.999
800		0		0.999
810		0		0.999
820		0		0.999
830		0		0.999
840		0		0.999
850		0		0.999
860		0		0.999
870		0		0.999
880		0		0.999
890		0		0.999
900		0		0.999
910		0		0.999
920		0		0.999
930		0		0.999
940		0		0.999
950		0		0.999
960		0		0.999
970		0		0.999
980		0		0.999
990		0		0.999
1000		0		1
1010		0		1
1020		0		1
1030		0		1
1040		0		1
1050		0		1
1060		0		1
1070		0		1
1080		0		1
1090		0		1
1100		0		1
1110		0		1
1120		0		1
1130		0		1
1140		0		1
1150		0		1
1160		0		1
1170		0		1
1180		0		1
1190		0		1
1200		0		1
1210		0		1
1220		0		1
1230		0		1
1240		0		1
1250		0		1
1260		0		1
1270		0		1
1280		0		1
1290		0		1
1300		0		1
1310		0		1
1320		0		1
1330		0		1
1340		0		1
1350		0		1
1360		0		1
1370		0		1
1380		0		1
1390		0		1
1400		0		1
1410		0		1
1420		0		1
1430		0		1
1440		0		1
1450		0		1
1460		0		1
1470		0		1
1480		0		1
1490		0		1
1500		0		1
1510		0		1
1520		0		1
1530		0		1
1540		0		1
1550		0		1
1560		0		1
1570		0		1
1580		0		1
1590		0		1
1600		0		1
1610		0		1
1620		0		1
1630		0		1
1640		0		1
1650		0		1
1660		0		1
1670		0		1
1680		0		1
1690		0		1
1700		0		1
1710		0		1
1720		0		1
1730		0		1
1740		0		1
1750		0		1
1760		0		1
1770		0		1
1780		0		1
1790		0		1
1800		0		1
1810		0		1
1820		0		1
1830		0		1
1840		0		1
1850		0		1
1860		0		1
1870		0		1
1880		0		1
1890		0		1
1900		0		1
1910		0		1
1920		0		1
1930		0		1
1940		0		1
1950		0		1
1960		0		1
1970		0		1
1980		0		1
1990		0		1
2000		0		1
2010		0		1
2020		0		1
2030		0		1
2040		0		1
2050		0		1
2060		0		1
2070		0		1
2080		0		1
2090		0		1
2100		0		1
2110		0		1
2120		0		1
2130		0		1
2140		0		1
2150		0		1
2160		0		1
2170		0		1
2180		0		1
2190		0		1
2200		0		1
2210		0		1
2220		0		1
2230		0		1
2240		0		1
2250		0		1
2260		0		1
2270		0		1
2280		0		1
2290		0		1
2300		0		1
2310		0		1
2320		0		1
2330		0		1
2340		0		1
2350		0		1
2360		0		1
2370		0		1
2380		0		1
2390		0		1
2400		0		1
2410		0		1
2420		0		1
2430		0		1
2440		0		1
2450		0		1
2460		0		1
2470		0		1
2480		0		1
2490		0		1
2500		0		1
2510		0		1
2520		0		1
2530		0		1
2540		0		1
2550		0		1
2560		0		1
2570		0		1
2580		0		1
2590		0		1
2600		0		1
2610		0		1
2620		0		1
2630		0		1
2640		0		1
2650		0		1
2660		0		1
2670		0		1
2680		0		1
2690		0		1
2700		0		1
2710		0		1
2720		0		1
2730		0		1
2740		0		1
2750		0		1
2760		0		1
2770		0		1
2780		0		1
2790		0		1
2800		0		1
2810		0		1
2820		0		1
2830		0		1
2840		0		1
2850		0		1
2860		0		1
2870		0		1
2880		0		1
2890		0		1
2900		0		1
2910		0		1
2920		0		1
2930		0		1
2940		0		1
2950		0		1
2960		0		1
2970		0		1
2980		0		1
2990		0		1
3000		0		1
3010		0		1
3020		0		1
3030		0		1
3040		0		1
3050		0		1
3060		0		1
3070		0		1
3080		0		1
3090		0		1
3100		0		1
3110		0		1
3120		0		1
3130		0		1
3140		0		1
3150		0		1
3160		0		1
3170		0		1
3180		0		1
3190		0		1
3200		0		1
3210		0		1
3220		0		1
3230		0		1
3240		0		1
3250		0		1
3260		0		1
3270		0		1
3280		0		1
3290		0		1
3300		0		1
3310		0		1
3320		0		1
3330		0		1
3340		0		1
3350		0		1
3360		0		1
3370		0		1
3380		0		1
3390		0		1
3400		0		1
3410		0		1
3420		0		1
3430		0		1
3440		0		1
3450		0		1
3460		0		1
3470		0		1
3480		0		1
3490		0		1
3500		0		1
3510		0		1
3520		0		1
3530		0		1
3540		0		1
3550		0		1
3560		0		1
3570		0		1
3580		0		1
3590		0		1
3600		0		1
3610		0		1
3620		0		1
3630		0		1
3640		0		1
3650		0		1
3660		0		1
3670		0		1
3680		0		1
3690		0		1
3700		0		1
3710		0		1
3720		0		1
3730		0		1
3740		0		1
3750		0		1
3760		0		1
3770		0		1
3780		0		1
3790		0		1
3800		0		1
3810		0		1
3820		0		1
3830		0		1
3840		0		1
3850		0		1
